,ASSESSMENT_YEAR,TOTALVALUE,HOMESTEAD,NEIGHBORHOOD,COMMUNITY,ZIPCODE,FORMATTED_ADDRESS,WARD,PROPERTY_TYPE,BUILDINGVALUE
113568,2020,0,NON-HOMESTEADED,PROSPECT PK/E RIVER RD,UNIVERSITY,55414,1015 FULTON ST,2.0,VACANT LAND - COMMERCIAL,0
113572,2020,0,NON-HOMESTEADED,PROSPECT PK/E RIVER RD,UNIVERSITY,55414-3113,1014 FULTON ST,2.0,VACANT LAND - RESIDENTIAL,0
113573,2020,0,NON-HOMESTEADED,PROSPECT PK/E RIVER RD,UNIVERSITY,55414-3151,614 HURON BLVD SE,2.0,VACANT LAND - APARTMENT,0
113574,2020,0,NON-HOMESTEADED,PROSPECT PK/E RIVER RD,UNIVERSITY,55414-3113,1018 FULTON ST,2.0,VACANT LAND - RESIDENTIAL,0
113576,2020,0,NON-HOMESTEADED,PROSPECT PK/E RIVER RD,UNIVERSITY,55455-2003,401 OAK ST,2.0,COMMERCIAL,0
113577,2020,0,NON-HOMESTEADED,PROSPECT PK/E RIVER RD,UNIVERSITY,55414,601 ONTARIO ST,2.0,VACANT LAND - COMMERCIAL,0
113579,2020,0,NON-HOMESTEADED,PROSPECT PK/E RIVER RD,UNIVERSITY,55414-3023,327 ONTARIO ST,2.0,VACANT LAND - APARTMENT,0
113580,2020,0,NON-HOMESTEADED,PROSPECT PK/E RIVER RD,UNIVERSITY,55414-3017,925 DELAWARE ST,2.0,COMMERCIAL,0
113581,2020,0,NON-HOMESTEADED,PROSPECT PK/E RIVER RD,UNIVERSITY,55414-3037,910 WASHINGTON AVE SE,2.0,APARTMENT,0
113582,2020,0,NON-HOMESTEADED,PROSPECT PK/E RIVER RD,UNIVERSITY,55414-3150,524 HURON BLVD SE,2.0,VACANT LAND - APARTMENT,0
113583,2020,0,NON-HOMESTEADED,PROSPECT PK/E RIVER RD,UNIVERSITY,55414-3115,526 HURON BLVD SE,2.0,VACANT LAND - COMMERCIAL,0
113584,2020,0,NON-HOMESTEADED,PROSPECT PK/E RIVER RD,UNIVERSITY,55414,609 OAK ST,2.0,APARTMENT,0
113585,2020,0,NON-HOMESTEADED,PROSPECT PK/E RIVER RD,UNIVERSITY,55414,413 ONTARIO ST,2.0,APARTMENT,0
113586,2020,0,NON-HOMESTEADED,PROSPECT PK/E RIVER RD,UNIVERSITY,55414-3125,820 FULTON ST,2.0,APARTMENT,0
113587,2020,0,NON-HOMESTEADED,PROSPECT PK/E RIVER RD,UNIVERSITY,55414-3002,419 ONTARIO ST,2.0,APARTMENT,0
113602,2020,0,NON-HOMESTEADED,PROSPECT PK/E RIVER RD,UNIVERSITY,55414-3442,2701 ESSEX ST,2.0,APARTMENT,0
113603,2020,0,NON-HOMESTEADED,PROSPECT PK/E RIVER RD,UNIVERSITY,55414-3451,44 ST MARYS AVE,2.0,APARTMENT,0
113618,2020,0,NON-HOMESTEADED,PROSPECT PK/E RIVER RD,UNIVERSITY,55414-3206,2500 UNIVERSITY AVE SE,2.0,APARTMENT,0
114225,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,615 56TH ST W,11.0,COMMERCIAL,0
114256,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,512 57TH ST W,11.0,VACANT LAND - COMMERCIAL,0
114257,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,600 57TH ST W,11.0,VACANT LAND - COMMERCIAL,0
114258,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,5612 1/2 GIRARD AVE S,11.0,VACANT LAND - COMMERCIAL,0
114259,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,510 57TH ST W,11.0,VACANT LAND - COMMERCIAL,0
114312,2020,0,NON-HOMESTEADED,CEDAR-ISLES-DEAN,CALHOUN-ISLE,55416-4335,2639 BURNHAM RD,7.0,VACANT LAND - RESIDENTIAL,0
114313,2020,0,NON-HOMESTEADED,KENWOOD,CALHOUN-ISLE,55405,2701 KENILWORTH PL,7.0,VACANT LAND - RESIDENTIAL,0
114314,2020,0,NON-HOMESTEADED,CEDAR-ISLES-DEAN,CALHOUN-ISLE,55416,3046 28TH ST W,7.0,VACANT LAND - COMMERCIAL,0
114322,2020,0,NON-HOMESTEADED,CEDAR-ISLES-DEAN,CALHOUN-ISLE,55416-4372,28201/2 CEDAR LAKE PKWY,7.0,VACANT LAND - COMMERCIAL,0
114337,2020,0,NON-HOMESTEADED,CEDAR-ISLES-DEAN,CALHOUN-ISLE,55416-4379,2701 1/2 28TH ST W,7.0,VACANT LAND - RESIDENTIAL,0
114349,2020,0,NON-HOMESTEADED,CEDAR-ISLES-DEAN,CALHOUN-ISLE,55416,2700 LAKE ST W,7.0,VACANT LAND - COMMERCIAL,0
114350,2020,0,NON-HOMESTEADED,CEDAR-ISLES-DEAN,CALHOUN-ISLE,55416,2830 DEAN PKWY,7.0,VACANT LAND - COMMERCIAL,0
114351,2020,0,NON-HOMESTEADED,CEDAR-ISLES-DEAN,CALHOUN-ISLE,55416-4507,3001 LAKE ST W,13.0,VACANT LAND - COMMERCIAL,0
114534,2020,0,NON-HOMESTEADED,DIAMOND LAKE,NOKOMIS,55417-2445,5517 CHICAGO AVE,11.0,COMMERCIAL,0
114535,2020,0,NON-HOMESTEADED,DIAMOND LAKE,NOKOMIS,55417-2445,5513 CHICAGO AVE,11.0,VACANT LAND - COMMERCIAL,0
114536,2020,0,NON-HOMESTEADED,DIAMOND LAKE,NOKOMIS,55417-2445,5501 CHICAGO AVE,11.0,COMMERCIAL,0
114712,2020,0,NON-HOMESTEADED,EAST ISLES,CALHOUN-ISLE,55408-1957,2880 HENNEPIN AVE,7.0,COMMERCIAL,0
114713,2020,0,NON-HOMESTEADED,EAST ISLES,CALHOUN-ISLE,55408-1906,2806 HENNEPIN AVE,7.0,VACANT LAND - COMMERCIAL,0
114714,2020,0,NON-HOMESTEADED,EAST ISLES,CALHOUN-ISLE,55408-1906,2808 HENNEPIN AVE,7.0,COMMERCIAL,0
114931,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,400 59TH ST W,11.0,VACANT LAND - COMMERCIAL,0
114932,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,5841 LYNDALE AVE S,11.0,VACANT LAND - COMMERCIAL,0
114934,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,5801 GRAND AVE,11.0,VACANT LAND - COMMERCIAL,0
114935,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,335 58TH ST W,11.0,VACANT LAND - COMMERCIAL,0
114936,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,301 59 1/2 ST W,11.0,VACANT LAND - COMMERCIAL,0
114943,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,5814 PLEASANT AVE,11.0,VACANT LAND - COMMERCIAL,0
114945,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,300 59TH ST W,11.0,VACANT LAND - COMMERCIAL,0
114946,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,401 58TH ST W,11.0,VACANT LAND - COMMERCIAL,0
114947,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,5800 PLEASANT AVE,11.0,VACANT LAND - COMMERCIAL,0
114948,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,401 60TH ST W,11.0,VACANT LAND - COMMERCIAL,0
114949,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,320 60TH ST W,11.0,VACANT LAND - COMMERCIAL,0
114950,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,500 58TH ST W,11.0,VACANT LAND - COMMERCIAL,0
114951,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,5800 GARFIELD AVE,11.0,VACANT LAND - COMMERCIAL,0
114955,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,600 59TH ST W,11.0,VACANT LAND - COMMERCIAL,0
114956,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,401 59TH ST W,11.0,VACANT LAND - COMMERCIAL,0
114957,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,5800 1/2 HARRIET AVE,11.0,VACANT LAND - COMMERCIAL,0
114958,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,408 59TH ST W,11.0,VACANT LAND - COMMERCIAL,0
114959,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,301 58TH ST W,11.0,VACANT LAND - COMMERCIAL,0
114960,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419,5920 PLEASANT AVE,11.0,VACANT LAND - COMMERCIAL,0
114961,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419-2228,5959 LYNDALE AVE S,11.0,VACANT LAND - COMMERCIAL,0
114964,2020,0,NON-HOMESTEADED,WINDOM,SOUTHWEST,55419-2221,5835 LYNDALE AVE S,11.0,COMMERCIAL,0
115035,2020,0,NON-HOMESTEADED,COOPER,LONGFELLOW,55406-1818,2812 42ND AVE S,2.0,RESIDENTIAL,0
115043,2020,0,NON-HOMESTEADED,COOPER,LONGFELLOW,55406-1723,2905 38TH AVE S,2.0,COMMERCIAL,0
115175,2020,0,NON-HOMESTEADED,COOPER,LONGFELLOW,55406-1841,2848 RIVER PKWY W,2.0,RESIDENTIAL,0
115188,2020,0,NON-HOMESTEADED,KENWOOD,CALHOUN-ISLE,55405,2002 UPTON AVE S,7.0,VACANT LAND - COMMERCIAL,0
115205,2020,0,NON-HOMESTEADED,COOPER,LONGFELLOW,55406,2821 RIVER PKWY W,2.0,VACANT LAND - COMMERCIAL,0
115471,2020,0,NON-HOMESTEADED,DIAMOND LAKE,NOKOMIS,55417,600 62ND ST E,11.0,VACANT LAND - COMMERCIAL,0
115472,2020,0,NON-HOMESTEADED,DIAMOND LAKE,NOKOMIS,55417-3125,6110 PARK AVE,11.0,VACANT LAND - COMMERCIAL,0
115482,2020,0,NON-HOMESTEADED,DIAMOND LAKE,NOKOMIS,55417,6141 PORTLAND AVE,11.0,VACANT LAND - COMMERCIAL,0
115558,2020,0,NON-HOMESTEADED,DIAMOND LAKE,NOKOMIS,55423,730 62ND ST E,11.0,VACANT LAND - COMMERCIAL,0
115560,2020,0,NON-HOMESTEADED,DIAMOND LAKE,NOKOMIS,55417,6152 10TH AVE S,11.0,VACANT LAND - COMMERCIAL,0
115561,2020,0,NON-HOMESTEADED,DIAMOND LAKE,NOKOMIS,55417,1201 61ST ST E,11.0,VACANT LAND - COMMERCIAL,0
115716,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408-1122,2712 FREMONT AVE S,10.0,RESIDENTIAL,0
115883,2020,0,NON-HOMESTEADED,EAST ISLES,CALHOUN-ISLE,55405-2628,2200 EMERSON AVE S,7.0,DOUBLE BUNGALOW,0
115889,2020,0,NON-HOMESTEADED,EAST ISLES,CALHOUN-ISLE,55405,1310 24TH ST W,7.0,VACANT LAND - COMMERCIAL,0
115922,2020,0,NON-HOMESTEADED,EAST ISLES,CALHOUN-ISLE,55405-2739,2330 HENNEPIN AVE,7.0,VACANT LAND - COMMERCIAL,0
115978,2020,0,NON-HOMESTEADED,EAST ISLES,CALHOUN-ISLE,55405,2320 EMERSON AVE S,7.0,VACANT LAND - COMMERCIAL,0
115979,2020,0,NON-HOMESTEADED,EAST ISLES,CALHOUN-ISLE,55405-2635,2324 EMERSON AVE S,7.0,COMMERCIAL,0
115987,2020,0,NON-HOMESTEADED,EAST ISLES,CALHOUN-ISLE,55405,2226 EMERSON AVE S,7.0,VACANT LAND - COMMERCIAL,0
116018,2020,0,NON-HOMESTEADED,EAST ISLES,CALHOUN-ISLE,55405-2749,1111 22ND ST W,7.0,COMMERCIAL,0
116057,2020,0,NON-HOMESTEADED,EAST ISLES,CALHOUN-ISLE,55405,2400 1/2 GIRARD AVE S,7.0,VACANT LAND - COMMERCIAL,0
116436,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55405-2947,2509 COLFAX AVE S,10.0,COMMERCIAL,0
116437,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55405,2527 COLFAX AVE S,10.0,VACANT LAND - COMMERCIAL,0
116497,2020,0,NON-HOMESTEADED,LOWRY HILL,CALHOUN-ISLE,55405-2408,2009 LAKE OF THE ISLES PKWY E,7.0,VACANT LAND - RESIDENTIAL,0
116510,2020,0,NON-HOMESTEADED,EAST ISLES,CALHOUN-ISLE,55405-2472,2328 LAKE PL,7.0,COMMERCIAL,0
116563,2020,0,NON-HOMESTEADED,KENWOOD,CALHOUN-ISLE,55405-2332,2500 LAKE OF THE ISLES PKWY E,7.0,VACANT LAND - RESIDENTIAL,0
116780,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55405-2912,817 26TH ST W,10.0,RESIDENTIAL,0
116820,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408-1240,2644 BRYANT AVE S,10.0,RESIDENTIAL,0
117076,2020,0,NON-HOMESTEADED,DOWNTOWN WEST,CENTRAL,55401-2532,212 3RD AVE S,3.0,COMMERCIAL,0
117080,2020,0,NON-HOMESTEADED,DOWNTOWN WEST,CENTRAL,55401-1836,15 1ST ST S #A4,3.0,COMMERCIAL,0
117434,2020,0,NON-HOMESTEADED,KENWOOD,CALHOUN-ISLE,55405-2315,2626 21ST ST W,7.0,VACANT LAND - COMMERCIAL,0
117435,2020,0,NON-HOMESTEADED,KENWOOD,CALHOUN-ISLE,55405-2321,2622 24TH ST W,7.0,VACANT LAND - COMMERCIAL,0
117436,2020,0,NON-HOMESTEADED,KENWOOD,CALHOUN-ISLE,55405,2603 21ST ST W,7.0,VACANT LAND - COMMERCIAL,0
117458,2020,0,NON-HOMESTEADED,KENWOOD,CALHOUN-ISLE,55405-2214,2031 UPTON AVE S,7.0,VACANT LAND - RESIDENTIAL,0
117459,2020,0,NON-HOMESTEADED,KENWOOD,CALHOUN-ISLE,55405-2214,2043 UPTON AVE S,7.0,VACANT LAND - RESIDENTIAL,0
117461,2020,0,NON-HOMESTEADED,KENWOOD,CALHOUN-ISLE,55405-2315,2604 21ST ST W,7.0,VACANT LAND - RESIDENTIAL,0
117462,2020,0,NON-HOMESTEADED,KENWOOD,CALHOUN-ISLE,55405-2315,2600 21ST ST W,7.0,VACANT LAND - RESIDENTIAL,0
117463,2020,0,NON-HOMESTEADED,KENWOOD,CALHOUN-ISLE,55405,2012 THOMAS AVE S,7.0,VACANT LAND - RESIDENTIAL,0
117464,2020,0,NON-HOMESTEADED,KENWOOD,CALHOUN-ISLE,55405,2820 26TH ST W,7.0,VACANT LAND - COMMERCIAL,0
117465,2020,0,NON-HOMESTEADED,CEDAR-ISLES-DEAN,CALHOUN-ISLE,55416-4330,2700 BURNHAM BLVD,7.0,VACANT LAND - RESIDENTIAL,0
117472,2020,0,NON-HOMESTEADED,CEDAR-ISLES-DEAN,CALHOUN-ISLE,55416-4333,2501 BURNHAM RD,7.0,VACANT LAND - COMMERCIAL,0
117479,2020,0,NON-HOMESTEADED,CEDAR-ISLES-DEAN,CALHOUN-ISLE,55416,2600 BURNHAM RD,7.0,VACANT LAND - COMMERCIAL,0
117480,2020,0,NON-HOMESTEADED,CEDAR-ISLES-DEAN,CALHOUN-ISLE,55416-4333,2549 BURNHAM RD,7.0,VACANT LAND - RESIDENTIAL,0
117541,2020,0,NON-HOMESTEADED,KENWOOD,CALHOUN-ISLE,55405-2300,2410 THOMAS LN,7.0,COMMON AREA (NO VALUE),0
117637,2020,0,NON-HOMESTEADED,EAST ISLES,CALHOUN-ISLE,55405-2467,1600 26TH ST W,7.0,VACANT LAND - RESIDENTIAL,0
117698,2020,0,NON-HOMESTEADED,EAST ISLES,CALHOUN-ISLE,55408-1903,1430 28TH ST W,7.0,COMMERCIAL,0
117870,2020,0,NON-HOMESTEADED,EAST ISLES,CALHOUN-ISLE,55408-2122,2851 ALDRICH AVE S,7.0,VACANT LAND - COMMERCIAL,0
117889,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,2835 FREMONT AVE S,10.0,VACANT LAND - COMMERCIAL,0
117892,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,2920 EMERSON AVE S,10.0,VACANT LAND - COMMERCIAL,0
117893,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,2921 FREMONT AVE S,10.0,VACANT LAND - COMMERCIAL,0
117895,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,2920 FREMONT AVE S,10.0,VACANT LAND - COMMERCIAL,0
117896,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,2921 GIRARD AVE S,10.0,VACANT LAND - COMMERCIAL,0
117897,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,2920 GIRARD AVE S,10.0,VACANT LAND - COMMERCIAL,0
117898,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,2921 HENNEPIN AVE,10.0,VACANT LAND - COMMERCIAL,0
117902,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,2924 GIRARD AVE S,10.0,VACANT LAND - COMMERCIAL,0
117910,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,2925 HENNEPIN AVE,10.0,VACANT LAND - COMMERCIAL,0
117911,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,2924 FREMONT AVE S,10.0,VACANT LAND - COMMERCIAL,0
117917,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,2925 FREMONT AVE S,10.0,VACANT LAND - COMMERCIAL,0
117921,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408-2031,2822 FREMONT AVE S,10.0,VACANT LAND - COMMERCIAL,0
117925,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,2927 EMERSON AVE S,10.0,VACANT LAND - COMMERCIAL,0
117929,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,1210 LAGOON AVE,10.0,COMMERCIAL,0
117932,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408-2054,2986 FREMONT AVE S,10.0,VACANT LAND - COMMERCIAL,0
117933,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,1324 LAGOON AVE,10.0,VACANT LAND - COMMERCIAL,0
117984,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,1320 LAGOON AVE,10.0,COMMON AREA (NO VALUE),0
117985,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,1320 LAGOON AVE,10.0,COMMON AREA (NO VALUE),0
117986,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,1320 LAGOON AVE,10.0,COMMON AREA (NO VALUE),0
117987,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,1320 LAGOON AVE,10.0,COMMON AREA (NO VALUE),0
117988,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,1320 LAGOON AVE,10.0,COMMON AREA (NO VALUE),0
117989,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,1320 LAGOON AVE,10.0,COMMON AREA (NO VALUE),0
117990,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,1320 LAGOON AVE,10.0,COMMON AREA (NO VALUE),0
117992,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,1320 LAGOON AVE,10.0,COMMON AREA (NO VALUE),0
117995,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,1320 LAGOON AVE,10.0,COMMON AREA (NO VALUE),0
117996,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,1320 LAGOON AVE,10.0,COMMON AREA (NO VALUE),0
118061,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408-2857,912 LAKE ST W,10.0,COMMERCIAL,0
118066,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408-2128,2913 1/2 BRYANT AVE S,10.0,VACANT LAND - COMMERCIAL,0
118067,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,2949 DUPONT AVE S,10.0,VACANT LAND - COMMERCIAL,0
118076,2020,0,NON-HOMESTEADED,LOWRY HILL EAST,CALHOUN-ISLE,55408,2920 LYNDALE AVE S,10.0,VACANT LAND - COMMERCIAL,0
118188,2020,0,NON-HOMESTEADED,WHITTIER,POWDERHORN,55408-2309,111 29TH ST W,10.0,VACANT LAND - RESIDENTIAL,0
118195,2020,0,NON-HOMESTEADED,WHITTIER,POWDERHORN,55408,2810 NICOLLET AVE,10.0,COMMERCIAL,0
118196,2020,0,NON-HOMESTEADED,WHITTIER,POWDERHORN,55408,2815 BLAISDELL AVE S,10.0,VACANT LAND - COMMERCIAL,0
118198,2020,0,NON-HOMESTEADED,PHILLIPS WEST,PHILLIPS,55407-1013,2728 PORTLAND AVE,6.0,APARTMENT,0
118299,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55404-3901,2500 15TH AVE S,9.0,RESIDENTIAL,0
118307,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55404-3932,2510 14TH AVE S,9.0,VACANT LAND - RESIDENTIAL,0
118309,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55404-3932,2518 14TH AVE S,9.0,VACANT LAND - RESIDENTIAL,0
118328,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55404-3901,2534 15TH AVE S,9.0,RESIDENTIAL,0
118345,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55404-4505,2528 13TH AVE S,9.0,RESIDENTIAL,0
118357,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55404-4504,2525 12TH AVE S,9.0,RESIDENTIAL,0
118363,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55404-3930,2432 14TH AVE S,9.0,VACANT LAND - RESIDENTIAL,0
118370,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55404-3919,1315 24TH ST E,9.0,COMMERCIAL,0
118432,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55404-3920,2500 BLOOMINGTON AVE,9.0,COMMERCIAL,0
118435,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55404-4506,2529 13TH AVE S,9.0,COMMERCIAL,0
118458,2020,0,NON-HOMESTEADED,EAST PHILLIPS,PHILLIPS,55404-4032,2500 CEDAR AVE,9.0,VACANT LAND - COMMERCIAL,0
118466,2020,0,NON-HOMESTEADED,EAST PHILLIPS,PHILLIPS,55404-4049,2438 17TH AVE S,9.0,DOUBLE BUNGALOW,0
118476,2020,0,NON-HOMESTEADED,EAST PHILLIPS,PHILLIPS,55404-3918,2421 BLOOMINGTON AVE,9.0,COMMERCIAL,0
118483,2020,0,NON-HOMESTEADED,EAST PHILLIPS,PHILLIPS,55404-3904,2412 16TH AVE S,9.0,VACANT LAND - COMMERCIAL,0
118484,2020,0,NON-HOMESTEADED,EAST PHILLIPS,PHILLIPS,55404-3921,2523 BLOOMINGTON AVE,9.0,RESIDENTIAL,0
118515,2020,0,NON-HOMESTEADED,EAST PHILLIPS,PHILLIPS,55404-4017,1611 25TH ST E,9.0,VACANT LAND - RESIDENTIAL,0
118518,2020,0,NON-HOMESTEADED,EAST PHILLIPS,PHILLIPS,55404-4032,2540 CEDAR AVE,9.0,VACANT LAND - RESIDENTIAL,0
118541,2020,0,NON-HOMESTEADED,EAST PHILLIPS,PHILLIPS,55404-4006,2442 18TH AVE S,9.0,VACANT LAND - COMMERCIAL,0
118542,2020,0,NON-HOMESTEADED,EAST PHILLIPS,PHILLIPS,55404-4006,2448 18TH AVE S,9.0,COMMERCIAL,0
118558,2020,0,NON-HOMESTEADED,EAST PHILLIPS,PHILLIPS,55404,2411 17TH AVE S,9.0,VACANT LAND - COMMERCIAL,0
118567,2020,0,NON-HOMESTEADED,EAST PHILLIPS,PHILLIPS,55404,2424 18TH AVE S,9.0,COMMERCIAL,0
118568,2020,0,NON-HOMESTEADED,EAST PHILLIPS,PHILLIPS,55404,2438 18TH AVE S,9.0,COMMERCIAL,0
118881,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55407-1131,2726 15TH AVE S,9.0,VACANT LAND - RESIDENTIAL,0
118882,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55407-1131,2728 15TH AVE S,9.0,RESIDENTIAL,0
118883,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55407-1131,2742 15TH AVE S,9.0,COMMERCIAL,0
118902,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55407-1118,2747 12TH AVE S,9.0,VACANT LAND - COMMERCIAL,0
118911,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55407-1120,2635 13TH AVE S,9.0,DOUBLE BUNGALOW,0
118931,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55407,2632 BLOOMINGTON AVE,9.0,DOUBLE BUNGALOW,0
118932,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55407,2636 BLOOMINGTON AVE,9.0,VACANT LAND - RESIDENTIAL,0
118949,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55407-1127,2712 14TH AVE S,9.0,VACANT LAND - RESIDENTIAL,0
118960,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55404-3953,2605 14TH AVE S,9.0,VACANT LAND - RESIDENTIAL,0
118961,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55404-3953,2601 14TH AVE S,9.0,VACANT LAND - RESIDENTIAL,0
118962,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55407,2853 12TH AVE S,9.0,VACANT LAND - COMMERCIAL,0
118963,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55407-1417,2853 13TH AVE S,9.0,VACANT LAND - COMMERCIAL,0
118964,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55407-1421,2853 14TH AVE S,9.0,VACANT LAND - COMMERCIAL,0
118965,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55407-1425,2853 15TH AVE S,9.0,VACANT LAND - COMMERCIAL,0
118970,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55407,2930 14TH AVE S,9.0,VACANT LAND - COMMERCIAL,0
118973,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55407-1621,1200 LAKE ST E,9.0,VACANT LAND - COMMERCIAL,0
118979,2020,0,NON-HOMESTEADED,MIDTOWN PHILLIPS,PHILLIPS,55407,1301 29TH ST E,9.0,VACANT LAND - COMMERCIAL,0
